year,city_avg_temp,global_avg_temp,10-year city MA,10 year global MA,,Corelation coefficient,0.802935176
1750,7.88,8.72,,,,,
1751,8.6,7.98,,,,,
1752,0.36,5.78,,,,,
1753,7.35,8.39,,,,,
1754,7.75,8.47,,,,,
1755,4.28,8.36,,,,,
1756,7.76,8.85,,,,,
1757,6.65,9.02,,,,,
1758,6.09,6.74,,,,,
1759,6.8,7.99,6.352,8.03,,,
1760,5.53,7.19,6.117,7.877,,,
1761,8.05,8.77,6.062,7.956,,,
1762,7.42,8.61,6.768,8.239,,,
1763,4.99,7.5,6.532,8.15,,,
1764,7.36,8.4,6.493,8.143,,,
1765,6.73,8.25,6.738,8.132,,,
1766,7.96,8.41,6.758,8.088,,,
1767,6.28,8.22,6.721,8.008,,,
1768,6.74,6.78,6.786,8.012,,,
1769,6.94,7.69,6.8,7.982,,,
1770,6.99,7.69,6.946,8.032,,,
1771,7.72,7.85,6.913,7.94,,,
1772,7.44,8.19,6.915,7.898,,,
1773,7.97,8.22,7.213,7.97,,,
1774,7.35,8.77,7.212,8.007,,,
1775,8.08,9.18,7.347,8.1,,,
1776,6.83,8.3,7.234,8.089,,,
1777,6.56,8.26,7.262,8.093,,,
1778,4.75,8.54,7.063,8.269,,,
1779,-2.31,8.98,6.138,8.398,,,
1780,,9.43,6.043333333,8.572,,,
1781,7.61,8.1,6.031111111,8.597,,,
1782,6.98,7.9,5.98,8.568,,,
1783,6.64,7.68,5.832222222,8.514,,,
1784,6.24,7.86,5.708888889,8.423,,,
1785,6.32,7.36,5.513333333,8.241,,,
1786,6.81,8.26,5.511111111,8.237,,,
1787,6.81,8.03,5.538888889,8.214,,,
1788,7.6,8.45,5.855555556,8.205,,,
1789,7.25,8.33,6.917777778,8.14,,,
1790,7.22,7.98,6.948,7.995,,,
1791,7.11,8.23,6.898,8.008,,,
1792,6.47,8.09,6.847,8.027,,,
1793,7.81,8.23,6.964,8.082,,,
1794,7.76,8.53,7.116,8.149,,,
1795,7.02,8.35,7.186,8.248,,,
1796,6.82,8.27,7.187,8.249,,,
1797,6.7,8.51,7.176,8.297,,,
1798,7.37,8.67,7.153,8.319,,,
1799,6.85,8.51,7.113,8.337,,,
1800,7.59,8.48,7.15,8.387,,,
1801,8.01,8.59,7.24,8.423,,,
1802,8.24,8.58,7.417,8.472,,,
1803,7.81,8.5,7.417,8.499,,,
1804,7.43,8.84,7.384,8.53,,,
1805,8.26,8.56,7.508,8.551,,,
1806,7.05,8.43,7.531,8.567,,,
1807,6.89,8.28,7.55,8.544,,,
1808,7.31,7.63,7.544,8.44,,,
1809,6.57,7.08,7.516,8.297,,,
1810,7.24,6.92,7.481,8.141,,,
1811,7.43,6.86,7.423,7.968,,,
1812,5.48,7.05,7.147,7.815,,,
1813,6.61,7.74,7.027,7.739,,,
1814,6.36,7.59,6.92,7.614,,,
